id,prompt,intent,capability,policy,topic,template_id
writing_learn_allowed_1_1,Explain professional emails.,learn,writing,allowed,professional emails,1
writing_learn_allowed_2_2,Teach me about professional emails.,learn,writing,allowed,professional emails,2
writing_learn_allowed_3_3,Provide an overview of professional emails.,learn,writing,allowed,professional emails,3
writing_learn_allowed_4_4,Describe how professional emails works.,learn,writing,allowed,professional emails,4
writing_learn_allowed_5_5,What are the key concepts behind professional emails?,learn,writing,allowed,professional emails,5
writing_create_allowed_1_6,Create content about professional emails.,create,writing,allowed,professional emails,1
writing_create_allowed_2_7,Write a detailed piece about professional emails.,create,writing,allowed,professional emails,2
writing_create_allowed_3_8,Generate an example involving professional emails.,create,writing,allowed,professional emails,3
writing_create_allowed_4_9,Draft a document about professional emails.,create,writing,allowed,professional emails,4
writing_create_allowed_5_10,Produce material related to professional emails.,create,writing,allowed,professional emails,5
writing_analyze_allowed_1_11,Analyze professional emails.,analyze,writing,allowed,professional emails,1
writing_analyze_allowed_2_12,Evaluate different aspects of professional emails.,analyze,writing,allowed,professional emails,2
writing_analyze_allowed_3_13,Critically assess professional emails.,analyze,writing,allowed,professional emails,3
writing_analyze_allowed_4_14,Compare major approaches to professional emails.,analyze,writing,allowed,professional emails,4
writing_analyze_allowed_5_15,What factors influence professional emails?,analyze,writing,allowed,professional emails,5
writing_transform_allowed_1_16,Summarize information about professional emails.,transform,writing,allowed,professional emails,1
writing_transform_allowed_2_17,Rewrite content about professional emails for beginners.,transform,writing,allowed,professional emails,2
writing_transform_allowed_3_18,Convert information about professional emails into bullet points.,transform,writing,allowed,professional emails,3
writing_transform_allowed_4_19,Simplify an explanation of professional emails.,transform,writing,allowed,professional emails,4
writing_transform_allowed_5_20,Translate technical information about professional emails into plain language.,transform,writing,allowed,professional emails,5
writing_plan_allowed_1_21,Develop a plan involving professional emails.,plan,writing,allowed,professional emails,1
writing_plan_allowed_2_22,Outline a strategy related to professional emails.,plan,writing,allowed,professional emails,2
writing_plan_allowed_3_23,Create a roadmap for professional emails.,plan,writing,allowed,professional emails,3
writing_plan_allowed_4_24,Design a workflow for professional emails.,plan,writing,allowed,professional emails,4
writing_plan_allowed_5_25,Propose a structured approach to professional emails.,plan,writing,allowed,professional emails,5
writing_execute_allowed_1_26,Provide detailed steps for professional emails.,execute,writing,allowed,professional emails,1
writing_execute_allowed_2_27,Show how to perform professional emails.,execute,writing,allowed,professional emails,2
writing_execute_allowed_3_28,Walk through the execution of professional emails.,execute,writing,allowed,professional emails,3
writing_execute_allowed_4_29,Give operational instructions for professional emails.,execute,writing,allowed,professional emails,4
writing_execute_allowed_5_30,Demonstrate the process behind professional emails.,execute,writing,allowed,professional emails,5
writing_learn_allowed_1_31,Explain motivational speeches.,learn,writing,allowed,motivational speeches,1
writing_learn_allowed_2_32,Teach me about motivational speeches.,learn,writing,allowed,motivational speeches,2
writing_learn_allowed_3_33,Provide an overview of motivational speeches.,learn,writing,allowed,motivational speeches,3
writing_learn_allowed_4_34,Describe how motivational speeches works.,learn,writing,allowed,motivational speeches,4
writing_learn_allowed_5_35,What are the key concepts behind motivational speeches?,learn,writing,allowed,motivational speeches,5
writing_create_allowed_1_36,Create content about motivational speeches.,create,writing,allowed,motivational speeches,1
writing_create_allowed_2_37,Write a detailed piece about motivational speeches.,create,writing,allowed,motivational speeches,2
writing_create_allowed_3_38,Generate an example involving motivational speeches.,create,writing,allowed,motivational speeches,3
writing_create_allowed_4_39,Draft a document about motivational speeches.,create,writing,allowed,motivational speeches,4
writing_create_allowed_5_40,Produce material related to motivational speeches.,create,writing,allowed,motivational speeches,5
writing_analyze_allowed_1_41,Analyze motivational speeches.,analyze,writing,allowed,motivational speeches,1
writing_analyze_allowed_2_42,Evaluate different aspects of motivational speeches.,analyze,writing,allowed,motivational speeches,2
writing_analyze_allowed_3_43,Critically assess motivational speeches.,analyze,writing,allowed,motivational speeches,3
writing_analyze_allowed_4_44,Compare major approaches to motivational speeches.,analyze,writing,allowed,motivational speeches,4
writing_analyze_allowed_5_45,What factors influence motivational speeches?,analyze,writing,allowed,motivational speeches,5
writing_transform_allowed_1_46,Summarize information about motivational speeches.,transform,writing,allowed,motivational speeches,1
writing_transform_allowed_2_47,Rewrite content about motivational speeches for beginners.,transform,writing,allowed,motivational speeches,2
writing_transform_allowed_3_48,Convert information about motivational speeches into bullet points.,transform,writing,allowed,motivational speeches,3
writing_transform_allowed_4_49,Simplify an explanation of motivational speeches.,transform,writing,allowed,motivational speeches,4
writing_transform_allowed_5_50,Translate technical information about motivational speeches into plain language.,transform,writing,allowed,motivational speeches,5
writing_plan_allowed_1_51,Develop a plan involving motivational speeches.,plan,writing,allowed,motivational speeches,1
writing_plan_allowed_2_52,Outline a strategy related to motivational speeches.,plan,writing,allowed,motivational speeches,2
writing_plan_allowed_3_53,Create a roadmap for motivational speeches.,plan,writing,allowed,motivational speeches,3
writing_plan_allowed_4_54,Design a workflow for motivational speeches.,plan,writing,allowed,motivational speeches,4
writing_plan_allowed_5_55,Propose a structured approach to motivational speeches.,plan,writing,allowed,motivational speeches,5
writing_execute_allowed_1_56,Provide detailed steps for motivational speeches.,execute,writing,allowed,motivational speeches,1
writing_execute_allowed_2_57,Show how to perform motivational speeches.,execute,writing,allowed,motivational speeches,2
writing_execute_allowed_3_58,Walk through the execution of motivational speeches.,execute,writing,allowed,motivational speeches,3
writing_execute_allowed_4_59,Give operational instructions for motivational speeches.,execute,writing,allowed,motivational speeches,4
writing_execute_allowed_5_60,Demonstrate the process behind motivational speeches.,execute,writing,allowed,motivational speeches,5
writing_learn_allowed_1_61,Explain product descriptions.,learn,writing,allowed,product descriptions,1
writing_learn_allowed_2_62,Teach me about product descriptions.,learn,writing,allowed,product descriptions,2
writing_learn_allowed_3_63,Provide an overview of product descriptions.,learn,writing,allowed,product descriptions,3
writing_learn_allowed_4_64,Describe how product descriptions works.,learn,writing,allowed,product descriptions,4
writing_learn_allowed_5_65,What are the key concepts behind product descriptions?,learn,writing,allowed,product descriptions,5
writing_create_allowed_1_66,Create content about product descriptions.,create,writing,allowed,product descriptions,1
writing_create_allowed_2_67,Write a detailed piece about product descriptions.,create,writing,allowed,product descriptions,2
writing_create_allowed_3_68,Generate an example involving product descriptions.,create,writing,allowed,product descriptions,3
writing_create_allowed_4_69,Draft a document about product descriptions.,create,writing,allowed,product descriptions,4
writing_create_allowed_5_70,Produce material related to product descriptions.,create,writing,allowed,product descriptions,5
writing_analyze_allowed_1_71,Analyze product descriptions.,analyze,writing,allowed,product descriptions,1
writing_analyze_allowed_2_72,Evaluate different aspects of product descriptions.,analyze,writing,allowed,product descriptions,2
writing_analyze_allowed_3_73,Critically assess product descriptions.,analyze,writing,allowed,product descriptions,3
writing_analyze_allowed_4_74,Compare major approaches to product descriptions.,analyze,writing,allowed,product descriptions,4
writing_analyze_allowed_5_75,What factors influence product descriptions?,analyze,writing,allowed,product descriptions,5
writing_transform_allowed_1_76,Summarize information about product descriptions.,transform,writing,allowed,product descriptions,1
writing_transform_allowed_2_77,Rewrite content about product descriptions for beginners.,transform,writing,allowed,product descriptions,2
writing_transform_allowed_3_78,Convert information about product descriptions into bullet points.,transform,writing,allowed,product descriptions,3
writing_transform_allowed_4_79,Simplify an explanation of product descriptions.,transform,writing,allowed,product descriptions,4
writing_transform_allowed_5_80,Translate technical information about product descriptions into plain language.,transform,writing,allowed,product descriptions,5
writing_plan_allowed_1_81,Develop a plan involving product descriptions.,plan,writing,allowed,product descriptions,1
writing_plan_allowed_2_82,Outline a strategy related to product descriptions.,plan,writing,allowed,product descriptions,2
writing_plan_allowed_3_83,Create a roadmap for product descriptions.,plan,writing,allowed,product descriptions,3
writing_plan_allowed_4_84,Design a workflow for product descriptions.,plan,writing,allowed,product descriptions,4
writing_plan_allowed_5_85,Propose a structured approach to product descriptions.,plan,writing,allowed,product descriptions,5
writing_execute_allowed_1_86,Provide detailed steps for product descriptions.,execute,writing,allowed,product descriptions,1
writing_execute_allowed_2_87,Show how to perform product descriptions.,execute,writing,allowed,product descriptions,2
writing_execute_allowed_3_88,Walk through the execution of product descriptions.,execute,writing,allowed,product descriptions,3
writing_execute_allowed_4_89,Give operational instructions for product descriptions.,execute,writing,allowed,product descriptions,4
writing_execute_allowed_5_90,Demonstrate the process behind product descriptions.,execute,writing,allowed,product descriptions,5
writing_learn_allowed_1_91,Explain fiction writing.,learn,writing,allowed,fiction writing,1
writing_learn_allowed_2_92,Teach me about fiction writing.,learn,writing,allowed,fiction writing,2
writing_learn_allowed_3_93,Provide an overview of fiction writing.,learn,writing,allowed,fiction writing,3
writing_learn_allowed_4_94,Describe how fiction writing works.,learn,writing,allowed,fiction writing,4
writing_learn_allowed_5_95,What are the key concepts behind fiction writing?,learn,writing,allowed,fiction writing,5
writing_create_allowed_1_96,Create content about fiction writing.,create,writing,allowed,fiction writing,1
writing_create_allowed_2_97,Write a detailed piece about fiction writing.,create,writing,allowed,fiction writing,2
writing_create_allowed_3_98,Generate an example involving fiction writing.,create,writing,allowed,fiction writing,3
writing_create_allowed_4_99,Draft a document about fiction writing.,create,writing,allowed,fiction writing,4
writing_create_allowed_5_100,Produce material related to fiction writing.,create,writing,allowed,fiction writing,5
writing_analyze_allowed_1_101,Analyze fiction writing.,analyze,writing,allowed,fiction writing,1
writing_analyze_allowed_2_102,Evaluate different aspects of fiction writing.,analyze,writing,allowed,fiction writing,2
writing_analyze_allowed_3_103,Critically assess fiction writing.,analyze,writing,allowed,fiction writing,3
writing_analyze_allowed_4_104,Compare major approaches to fiction writing.,analyze,writing,allowed,fiction writing,4
writing_analyze_allowed_5_105,What factors influence fiction writing?,analyze,writing,allowed,fiction writing,5
